Station No,Type,,Deployment Time,Long,,,Lat,,,Time of Recovery,Long,,,Lat,,
,CDT or Drifter,Name,,Deg,Min,Dir,Deg,Min,Dir,,Deg,Min,Dir,Deg,Min,Dir
1,Drifter,274Y,9:47,5,58.363,E,43,4.655,N,12:40,5,57.564,E,43,4.783,N
1,Drifter,8436WnoD,9:47,5,58.363,E,43,4.655,N,12:32,5,57.185,E,43,4.708,N
1,Drifter,6439WD,9:47,5,58.363,E,43,4.655,N,12:42,5,57.571,E,43,4.803,N
2,Drifter,273Y,9:59,5,59.055,E,43,4.723,N,14:03,5,57.743,E,43,5.145,N
2,Drifter,7230WD,9:59,5,59.055,E,43,4.723,N,13:59,5,57.955,E,43,5.144,N
2,Drifter,0119WnoD,9:59,5,59.055,E,43,4.723,N,14:12,5,56.777,E,43,5.185,N
3,Drifter,277Y,10:16,5,59.956,E,43,4.809,N,13:45,5,58.864,E,43,5.309,N
3,Drifter,2052WnoD,10:16,5,59.956,E,43,4.809,N,13:52,5,58.161,E,43,5.361,N
3,Drifter,3368WD,10:16,5,59.956,E,43,4.809,N,13:43,5,59.034,E,43,5.274,N
4,Drifter,9666WD,10:55,6,0.678,E,42,59.547,N,Not recovered,,,,,,
5,CTD 1,,10:57,6,0.596,E,42,59.522,N,11:21,,,,,,
6,CTD 2,,12:49,5,58.351,E,43,4.69,N,12:56,5,58.356,E,43,4.648,N
7,CTD 3,,13:04,5,58.957,E,43,4.696,N,13:09,5,58.92,E,43,4.717,N
8,CTD 4,,13:24,6,0.633,E,43,4.863,N,13:28,6,0.612,E,43,4.851,N
