Station,Type,Deplyoment time,Lon,Lat,Recovery time,Lon,Lat
0,CTD,12:57:00,006º 0.623,42º59.599,,,
0,CTD,14:02:00,005º59.033W,43º4.674,,,
2052,White w/o,9:54,005º59.972,"43º4,813",14:45,006º0.041,43º5.421
3368,White w/o,9:54,005º59.972,"43º4,813",14:39,005º59.593,43º5.133
274,Yellow,9:54,005º59.972,"43º4,813",2:41,005º59.716,43º5.224
8436,White w/o,10:03,005º58.987,43º4.686,13:52,005º58.677,43º4.495
6439,White,10:03,005º58.987,43º4.686,13:55,005º58.499,43º4.402
279,Yellow,10:03,005º58.987,43º4.686,13:58,005º58.501,43º4.335
119,White,10:21,005º58.416,43º4.669,14:30,005º58.209,43º4.851
7230,White w/o,10:21,005º58.416,43º4.669,14:22,005º58.569,43º4.882
273,Yellow,10:21,005º58.416,43º4.669,14:24,005º58.265,43º4.949
9666,White,-,-,-,11:39,005º45.322,42º58.672
