Flotteur_ID;Deployment_day;Deployment_Time (UTC);Deployment_long;Deployment_lat;End_day;End_Time (UTC);End_longitude;End_latitude;Status;Details;Drogue_depth;Drogue_status
382;2021-10-13';09:20;;43°5,594';2021-10-13';13:43;5°57,381';43°5,95';OK;;1;OK
3153368;2021-10-13';09:59;;43°4,799';2021-10-13';13:25;5°58,246';43°5,228';OK;;0.6;OK
390;2021-10-13';09:59;;43°4,799';2021-10-13';13:27;5°58,266';43°5,265';OK;;1;OK
386;2021-10-13';10:10;;43°4,810';2021-10-13';13:14;5°58,996';43°4,935';OK;;1;OK
276;2021-10-13';10:41;;43°4,814';2021-10-13';13:02;6°0,979';43°5,372';OK;;1;OK
2684410;2021-10-13';10:41;;43°4,810';2021-10-13';12:56;6°1,061';43°5,433';OK;;0;OK
3152052;2021-10-13';10:54;;43°4,810';2021-10-13';12:02;;;OK;;0;OK
388;2021-10-13';10:54;;43°4,810';2021-10-13';;;;OK;;1;OK
2692110;2021-10-13';10:54;;43°4,810';2021-10-13';;;;OK;;0.6;OK
3153611;2021-10-13';10:10;;43°4,810';2021-10-13';14:16;5°58,965';43°4,917';OK;;0.6;OK
