DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4409666,2022-10-11 12:46:54,GOOD,0-4409666,43.10279,5.91262
,,,,,
0-4409666,2022-10-11 12:42:07,GOOD,0-4409666,43.09285,5.91944
,,,,,
0-4406439,2022-10-11 12:41:25,GOOD,0-4406439,43.09131,5.92039
,,,,,
0-4409666,2022-10-11 12:37:08,GOOD,0-4409666,43.08898,5.93
,,,,,
0-4406439,2022-10-11 12:36:25,GOOD,0-4406439,43.08952,5.93165
,,,,,
0-4409666,2022-10-11 12:33:35,GOOD,0-4409666,43.09103,5.94019
,,,,,
0-4406439,2022-10-11 12:32:06,GOOD,0-4406439,43.0903,5.94543
,,,,,
0-4410119,2022-10-11 12:30:10,GOOD,0-4410119,43.08936,5.9524
,,,,,
0-4409666,2022-10-11 12:29:47,GOOD,0-4409666,43.0894,5.95397
,,,,,
0-4406439,2022-10-11 12:25:37,GOOD,0-4406439,43.09118,5.96901
,,,,,
0-4410119,2022-10-11 12:25:26,GOOD,0-4410119,43.09122,5.9698
,,,,,
0-4409666,2022-10-11 12:25:04,GOOD,0-4409666,43.09108,5.97109
,,,,,
0-4406439,2022-10-11 12:20:36,GOOD,0-4406439,43.09173,5.98757
,,,,,
0-4410119,2022-10-11 12:20:17,GOOD,0-4410119,43.0918,5.98884
,,,,,
0-4409666,2022-10-11 12:19:54,GOOD,0-4409666,43.09192,5.99015
,,,,,
0-4409666,2022-10-11 12:16:41,GOOD,0-4409666,43.09277,6.0018
,,,,,
0-4406439,2022-10-11 12:15:36,GOOD,0-4406439,43.09324,6.00409
,,,,,
0-4406439,2022-10-11 12:11:10,GOOD,0-4406439,43.08904,5.99999
,,,,,
0-4409666,2022-10-11 12:10:03,GOOD,0-4409666,43.09298,6.00319
,,,,,
0-4407230,2022-10-11 12:09:00,LOW,0-4407230,43.08978,5.99607
,,,,,
0-4410119,2022-10-11 12:07:39,GOOD,0-4410119,43.09019,5.99197
,,,,,
0-4406439,2022-10-11 12:05:14,GOOD,0-4406439,43.08983,5.99006
,,,,,
0-4409666,2022-10-11 12:05:02,GOOD,0-4409666,43.09223,6.0033
,,,,,
0-4407230,2022-10-11 12:03:14,LOW,0-4407230,43.08414,5.9907
,,,,,
0-4410119,2022-10-11 12:02:44,GOOD,0-4410119,43.0828,5.99045
,,,,,
0-4406439,2022-10-11 12:00:15,GOOD,0-4406439,43.0896,5.99053
,,,,,
0-4409666,2022-10-11 12:00:05,GOOD,0-4409666,43.09152,6.00347
,,,,,
0-4407230,2022-10-11 11:58:15,LOW,0-4407230,43.0755,5.98637
,,,,,
0-4410119,2022-10-11 11:57:44,GOOD,0-4410119,43.07533,5.98642
,,,,,
0-4406439,2022-10-11 11:55:12,GOOD,0-4406439,43.08938,5.99102
,,,,,
0-4409666,2022-10-11 11:55:03,GOOD,0-4409666,43.09084,6.00364
,,,,,
0-4407230,2022-10-11 11:53:14,LOW,0-4407230,43.0735,5.98504
,,,,,
0-4410119,2022-10-11 11:52:43,GOOD,0-4410119,43.07505,5.98585
,,,,,
0-4406439,2022-10-11 11:50:15,GOOD,0-4406439,43.08922,5.99139
,,,,,
0-4409666,2022-10-11 11:50:04,GOOD,0-4409666,43.09012,6.00388
,,,,,
0-4407230,2022-10-11 11:48:15,LOW,0-4407230,43.0733,5.98476
,,,,,
0-4410119,2022-10-11 11:47:46,GOOD,0-4410119,43.07482,5.98532
,,,,,
0-4409666,2022-10-11 11:45:29,GOOD,0-4409666,43.08938,6.00405
,,,,,
0-4406439,2022-10-11 11:45:12,GOOD,0-4406439,43.08907,5.9921
,,,,,
0-4407230,2022-10-11 11:43:18,LOW,0-4407230,43.0731,5.98444
,,,,,
0-4410119,2022-10-11 11:42:48,GOOD,0-4410119,43.07459,5.98482
,,,,,
0-3153368,2022-10-11 11:42:29,GOOD,0-3153368,43.08197,5.99053
,,,,,
0-4408436,2022-10-11 11:40:44,LOW,0-4408436,43.08193,5.9904
,,,,,
0-4406439,2022-10-11 11:40:10,GOOD,0-4406439,43.08904,5.9927
,,,,,
0-4409666,2022-10-11 11:40:00,GOOD,0-4409666,43.08842,6.00435
,,,,,
0-4407230,2022-10-11 11:38:16,LOW,0-4407230,43.07292,5.98409
,,,,,
0-4410119,2022-10-11 11:37:47,GOOD,0-4410119,43.07439,5.98431
,,,,,
0-3153368,2022-10-11 11:37:28,GOOD,0-3153368,43.08306,5.98697
,,,,,
0-4408436,2022-10-11 11:35:42,LOW,0-4408436,43.08295,5.98706
,,,,,
0-4406439,2022-10-11 11:35:11,GOOD,0-4406439,43.0891,5.99332
,,,,,
0-4409666,2022-10-11 11:35:10,GOOD,0-4409666,43.08767,6.00441
,,,,,
0-4407230,2022-10-11 11:33:16,LOW,0-4407230,43.07275,5.98375
,,,,,
0-4410119,2022-10-11 11:32:47,GOOD,0-4410119,43.0742,5.98379
,,,,,
0-3153368,2022-10-11 11:32:27,GOOD,0-3153368,43.08228,5.9853
,,,,,
0-4408436,2022-10-11 11:30:44,LOW,0-4408436,43.08276,5.98706
,,,,,
0-4406439,2022-10-11 11:30:37,GOOD,0-4406439,43.08895,5.99375
,,,,,
0-4409666,2022-10-11 11:29:59,GOOD,0-4409666,43.08682,6.00461
,,,,,
0-4407230,2022-10-11 11:28:12,LOW,0-4407230,43.07265,5.98339
,,,,,
0-3153368,2022-10-11 11:27:58,GOOD,0-3153368,43.08221,5.98525
,,,,,
0-4410119,2022-10-11 11:27:49,GOOD,0-4410119,43.07404,5.98326
,,,,,
0-4408436,2022-10-11 11:25:42,LOW,0-4408436,43.08258,5.98699
,,,,,
0-4406439,2022-10-11 11:25:12,GOOD,0-4406439,43.08853,5.99433
,,,,,
0-4409666,2022-10-11 11:25:03,GOOD,0-4409666,43.08608,6.0048
,,,,,
0-4410119,2022-10-11 11:23:25,GOOD,0-4410119,43.07393,5.98276
,,,,,
0-4407230,2022-10-11 11:23:17,LOW,0-4407230,43.07265,5.98296
,,,,,
0-3153368,2022-10-11 11:22:26,GOOD,0-3153368,43.0821,5.98519
,,,,,
0-4408436,2022-10-11 11:20:43,LOW,0-4408436,43.08245,5.98693
,,,,,
0-4406439,2022-10-11 11:20:10,GOOD,0-4406439,43.08815,5.99487
,,,,,
0-4409666,2022-10-11 11:20:02,GOOD,0-4409666,43.08538,6.00497
,,,,,
0-4407230,2022-10-11 11:18:16,LOW,0-4407230,43.07266,5.98253
,,,,,
0-4410119,2022-10-11 11:17:52,GOOD,0-4410119,43.07382,5.98212
,,,,,
0-3153368,2022-10-11 11:17:28,GOOD,0-3153368,43.08203,5.98515
,,,,,
0-4408436,2022-10-11 11:15:41,LOW,0-4408436,43.08228,5.98678
,,,,,
0-4406439,2022-10-11 11:15:12,GOOD,0-4406439,43.08775,5.99542
,,,,,
0-4409666,2022-10-11 11:15:02,GOOD,0-4409666,43.08466,6.00521
,,,,,
0-4407230,2022-10-11 11:13:18,LOW,0-4407230,43.07269,5.9821
,,,,,
0-4410119,2022-10-11 11:12:51,GOOD,0-4410119,43.07373,5.9815
,,,,,
0-3153368,2022-10-11 11:12:28,GOOD,0-3153368,43.08199,5.98515
,,,,,
0-4408436,2022-10-11 11:10:42,LOW,0-4408436,43.08212,5.98658
,,,,,
0-4406439,2022-10-11 11:10:12,GOOD,0-4406439,43.08731,5.99598
,,,,,
0-4409666,2022-10-11 11:10:04,GOOD,0-4409666,43.08395,6.00544
,,,,,
0-4407230,2022-10-11 11:08:56,LOW,0-4407230,43.07273,5.98169
,,,,,
0-4410119,2022-10-11 11:07:51,GOOD,0-4410119,43.07364,5.98099
,,,,,
0-3153368,2022-10-11 11:07:28,GOOD,0-3153368,43.08186,5.98504
,,,,,
0-4408436,2022-10-11 11:05:40,LOW,0-4408436,43.08193,5.98639
,,,,,
0-4409666,2022-10-11 11:05:34,GOOD,0-4409666,43.08338,6.00562
,,,,,
0-4406439,2022-10-11 11:05:14,GOOD,0-4406439,43.08686,5.99652
,,,,,
0-4407230,2022-10-11 11:03:19,LOW,0-4407230,43.07285,5.98115
,,,,,
0-4410119,2022-10-11 11:02:52,GOOD,0-4410119,43.07356,5.98032
,,,,,
