��DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4408436,2022-10-12 10:36:55,LOW,0-4408436,43.07852,5.95566
0-4408436,2022-10-12 10:31:50,LOW,0-4408436,43.07803,5.95369
0-4408436,2022-10-12 10:26:54,LOW,0-4408436,43.07777,5.9544
0-4408436,2022-10-12 10:21:51,LOW,0-4408436,43.07745,5.9551
0-4408436,2022-10-12 10:16:50,LOW,0-4408436,43.07714,5.95583
0-4408436,2022-10-12 10:11:51,LOW,0-4408436,43.07685,5.95667
0-4408436,2022-10-12 10:07:25,LOW,0-4408436,43.07663,5.9574
0-4408436,2022-10-12 10:01:51,LOW,0-4408436,43.07633,5.9583
0-4408436,2022-10-12 09:56:49,LOW,0-4408436,43.07614,5.9591
0-4408436,2022-10-12 09:51:50,LOW,0-4408436,43.07601,5.95983
0-4408436,2022-10-12 09:46:51,LOW,0-4408436,43.07585,5.96045
0-4408436,2022-10-12 09:41:50,LOW,0-4408436,43.07579,5.96109
0-4408436,2022-10-12 09:36:51,LOW,0-4408436,43.07578,5.96169
0-4408436,2022-10-12 09:31:50,LOW,0-4408436,43.07579,5.96219
0-4408436,2022-10-12 09:26:52,LOW,0-4408436,43.07585,5.96264
0-4408436,2022-10-12 09:21:50,LOW,0-4408436,43.07594,5.96307
0-4408436,2022-10-12 09:16:49,LOW,0-4408436,43.076,5.96345
0-4408436,2022-10-12 09:11:49,LOW,0-4408436,43.0761,5.96386
0-4408436,2022-10-12 09:06:49,LOW,0-4408436,43.07614,5.9642
0-4408436,2022-10-12 09:01:47,LOW,0-4408436,43.07626,5.9648
0-4408436,2022-10-12 08:56:48,LOW,0-4408436,43.07629,5.96532
0-4408436,2022-10-12 08:51:46,LOW,0-4408436,43.07633,5.96583
0-4408436,2022-10-12 08:46:43,LOW,0-4408436,43.07635,5.96646
0-4408436,2022-10-12 08:41:45,LOW,0-4408436,43.07642,5.96704
0-4408436,2022-10-12 08:36:43,LOW,0-4408436,43.07646,5.96759
0-4408436,2022-10-12 08:31:44,LOW,0-4408436,43.07651,5.96813
0-4408436,2022-10-12 08:26:46,LOW,0-4408436,43.07653,5.96873
0-4408436,2022-10-12 08:21:44,LOW,0-4408436,43.07665,5.96918
0-4408436,2022-10-12 08:16:42,LOW,0-4408436,43.07665,5.96978
0-4408436,2022-10-12 08:11:43,LOW,0-4408436,43.07672,5.97034
0-4408436,2022-10-12 08:07:08,LOW,0-4408436,43.0768,5.97094
0-4408436,2022-10-12 08:01:41,LOW,0-4408436,43.07668,5.97191
0-4408436,2022-10-12 07:56:42,LOW,0-4408436,43.07685,5.97244
0-4408436,2022-10-12 07:51:42,LOW,0-4408436,43.07719,5.9727
0-4408436,2022-10-12 07:46:40,LOW,0-4408436,43.07722,5.97352
0-4408436,2022-10-12 07:41:40,LOW,0-4408436,43.07945,5.96304
0-4408436,2022-10-12 07:36:41,LOW,0-4408436,43.0846,5.94757
0-4408436,2022-10-12 07:31:42,LOW,0-4408436,43.08777,5.93174
0-4408436,2022-10-12 07:26:39,LOW,0-4408436,43.09223,5.92071
0-4408436,2022-10-12 07:21:34,LOW,0-4408436,43.10217,5.91498
0-4408436,2022-10-12 07:16:35,LOW,0-4408436,43.10532,5.90122
0-4408436,2022-10-12 07:11:30,LOW,0-4408436,43.10477,5.88893
0-4408436,2022-10-12 07:06:58,LOW,0-4408436,43.10528,5.88562
