DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4409666,2022-10-13 09:41:27,GOOD,0-4409666,42.97699,5.75606
,,,,,
0-4409666,2022-10-13 09:36:27,GOOD,0-4409666,42.97797,5.75722
,,,,,
0-4409666,2022-10-13 09:31:28,GOOD,0-4409666,42.97796,5.75842
,,,,,
0-4409666,2022-10-13 09:26:26,GOOD,0-4409666,42.97796,5.75965
,,,,,
0-4409666,2022-10-13 09:21:57,GOOD,0-4409666,42.97795,5.76078
,,,,,
0-4409666,2022-10-13 09:16:25,GOOD,0-4409666,42.97795,5.76216
,,,,,
0-4409666,2022-10-13 09:11:26,GOOD,0-4409666,42.97792,5.7634
,,,,,
0-4409666,2022-10-13 09:06:25,GOOD,0-4409666,42.97791,5.76467
,,,,,
0-4409666,2022-10-13 09:01:27,GOOD,0-4409666,42.97789,5.76589
,,,,,
0-4409666,2022-10-13 08:56:26,GOOD,0-4409666,42.97786,5.76709
,,,,,
0-4409666,2022-10-13 08:51:28,GOOD,0-4409666,42.97781,5.76832
,,,,,
0-4409666,2022-10-13 08:46:27,GOOD,0-4409666,42.97773,5.76954
,,,,,
0-4409666,2022-10-13 08:41:29,GOOD,0-4409666,42.97765,5.7708
,,,,,
0-4409666,2022-10-13 08:36:29,GOOD,0-4409666,42.97761,5.772
,,,,,
0-4409666,2022-10-13 08:31:31,GOOD,0-4409666,42.97751,5.77327
,,,,,
0-4409666,2022-10-13 08:26:31,GOOD,0-4409666,42.97749,5.77454
,,,,,
0-4409666,2022-10-13 08:21:58,GOOD,0-4409666,42.97743,5.77574
,,,,,
0-4409666,2022-10-13 08:16:34,GOOD,0-4409666,42.97742,5.77718
,,,,,
0-4409666,2022-10-13 08:11:37,GOOD,0-4409666,42.97736,5.77836
,,,,,
0-4409666,2022-10-13 08:06:40,GOOD,0-4409666,42.97736,5.7796
,,,,,
0-4409666,2022-10-13 08:01:41,GOOD,0-4409666,42.97734,5.78085
,,,,,
0-4409666,2022-10-13 07:56:39,GOOD,0-4409666,42.97734,5.78211
,,,,,
0-4409666,2022-10-13 07:51:39,GOOD,0-4409666,42.9773,5.78331
,,,,,
0-4409666,2022-10-13 07:46:40,GOOD,0-4409666,42.97729,5.78469
,,,,,
0-4409666,2022-10-13 07:41:41,GOOD,0-4409666,42.97734,5.78591
,,,,,
0-4409666,2022-10-13 07:36:43,GOOD,0-4409666,42.97733,5.7872
,,,,,
0-4409666,2022-10-13 07:31:42,GOOD,0-4409666,42.97736,5.78849
,,,,,
0-4409666,2022-10-13 07:26:43,GOOD,0-4409666,42.97736,5.78973
,,,,,
0-4409666,2022-10-13 07:22:07,GOOD,0-4409666,42.97736,5.79091
,,,,,
0-4409666,2022-10-13 07:16:43,GOOD,0-4409666,42.9774,5.79226
